task,x,f,y
0,0.25135019341230314,-13.457689169851756,-13.443004348690645
0,0.4628923211730681,-18.938852404110293,-18.841740634897167
0,0.8471866720601178,-32.87713995468439,-32.864212606829334
0,0.6780235943470242,-25.154938080019225,-25.220419788441795
0,0.36786229343862786,-16.426026672852775,-16.255557219742315
0,0.13798300932991858,-11.14573620880004,-11.18412255678299
0,0.4028094476041054,-17.36844166472775,-17.315805403313885
0,0.9312970923624136,-38.90025509150781,-38.9425808319087
0,0.6731627853182345,-24.97386963798025,-24.968170298125376
0,0.41922981537211956,-17.82978160673399,-17.981207682856986
0,0.56866661206277,-21.406738517147726,-21.538199816308726
0,0.04171068434173819,-9.11632779230057,-9.240958536860997
0,0.9956341275493791,-44.92741542570252,-45.0632195965786
0,0.6190042191163182,-23.022581062481013,-23.01710978810008
0,0.7794661237762386,-29.45411207734905,-29.56406062933942
0,0.9313386353483447,-38.90393714329629,-39.15007400207113
0,0.3416185604633858,-15.750729145761042,-15.807363268944364
0,0.8112991994740427,-30.98845622594404,-30.98571068836226
0,0.8727098022055328,-34.32291512158516,-34.24582483111651
0,0.6659882250669068,-24.709598106751503,-24.6892799776761
0,0.5887865481770524,-22.03050977106637,-22.01403364484332
0,0.8933522602993403,-35.65081688705516,-35.67220300297711
0,0.44858401875441445,-18.646496307675008,-18.488611133407662
0,0.2443835793760556,-13.292617866070923,-13.29810182531189
0,0.8141729643304512,-31.133491542034644,-31.212696852598295
0,0.6971493985840633,-25.889064665635548,-25.948166696344188
0,0.40960454104371957,-17.557853710671846,-17.618577162583016
0,0.005715084265157211,-8.347071077340294,-8.39550467858988
0,0.9540143640593324,-40.95426509711131,-41.06141433998598
0,0.6052525996207352,-22.562580794035085,-22.57615486103485
0,0.006546276598804135,-8.36472106474621,-8.28064703059601
0,0.49849348704896135,-19.696674143072638,-19.641290440207577
0,0.5986353460187746,-22.346350927482963,-22.417008470822044
0,0.30014745012654453,-14.664902148319687,-14.669079612596956
0,0.4617574961687403,-18.91542213328681,-18.97093693251103
