,path,n_tasks,conservative,target_test_size,model_type,s,target_task,decay_rate
0,exp0,15,True,0.8,nn,high_bw,0,0.5
1,exp1,15,True,0.8,lm,high_bw,0,0.5
2,exp2,15,True,0.8,nn,high_bw,0,1.0
3,exp3,15,True,0.8,lm,high_bw,0,1.0
4,exp4,15,True,0.8,nn,high_bw,1,0.5
5,exp5,15,True,0.8,lm,high_bw,1,0.5
6,exp6,15,True,0.8,nn,high_bw,1,1.0
7,exp7,15,True,0.8,lm,high_bw,1,1.0
8,exp8,15,True,0.8,nn,high_bw,2,0.5
9,exp9,15,True,0.8,lm,high_bw,2,0.5
10,exp10,15,True,0.8,nn,high_bw,2,1.0
11,exp11,15,True,0.8,lm,high_bw,2,1.0
12,exp12,15,True,0.8,nn,high_bw,3,0.5
13,exp13,15,True,0.8,lm,high_bw,3,0.5
14,exp14,15,True,0.8,nn,high_bw,3,1.0
15,exp15,15,True,0.8,lm,high_bw,3,1.0
16,exp16,15,True,0.8,nn,high_bw,4,0.5
17,exp17,15,True,0.8,lm,high_bw,4,0.5
18,exp18,15,True,0.8,nn,high_bw,4,1.0
19,exp19,15,True,0.8,lm,high_bw,4,1.0
20,exp20,15,True,0.8,nn,high_bw,5,0.5
21,exp21,15,True,0.8,lm,high_bw,5,0.5
22,exp22,15,True,0.8,nn,high_bw,5,1.0
23,exp23,15,True,0.8,lm,high_bw,5,1.0
24,exp24,15,True,0.8,nn,high_bw,6,0.5
25,exp25,15,True,0.8,lm,high_bw,6,0.5
26,exp26,15,True,0.8,nn,high_bw,6,1.0
27,exp27,15,True,0.8,lm,high_bw,6,1.0
28,exp28,15,True,0.8,nn,high_bw,7,0.5
29,exp29,15,True,0.8,lm,high_bw,7,0.5
30,exp30,15,True,0.8,nn,high_bw,7,1.0
31,exp31,15,True,0.8,lm,high_bw,7,1.0
32,exp32,15,True,0.8,nn,high_bw,8,0.5
33,exp33,15,True,0.8,lm,high_bw,8,0.5
34,exp34,15,True,0.8,nn,high_bw,8,1.0
35,exp35,15,True,0.8,lm,high_bw,8,1.0
36,exp36,15,True,0.8,nn,high_bw,9,0.5
37,exp37,15,True,0.8,lm,high_bw,9,0.5
38,exp38,15,True,0.8,nn,high_bw,9,1.0
39,exp39,15,True,0.8,lm,high_bw,9,1.0
40,exp40,15,True,0.8,nn,high_bw,10,0.5
41,exp41,15,True,0.8,lm,high_bw,10,0.5
42,exp42,15,True,0.8,nn,high_bw,10,1.0
43,exp43,15,True,0.8,lm,high_bw,10,1.0
44,exp44,15,True,0.8,nn,high_bw,11,0.5
45,exp45,15,True,0.8,lm,high_bw,11,0.5
46,exp46,15,True,0.8,nn,high_bw,11,1.0
47,exp47,15,True,0.8,lm,high_bw,11,1.0
48,exp48,15,True,0.8,nn,high_bw,12,0.5
49,exp49,15,True,0.8,lm,high_bw,12,0.5
50,exp50,15,True,0.8,nn,high_bw,12,1.0
51,exp51,15,True,0.8,lm,high_bw,12,1.0
52,exp52,15,True,0.8,nn,high_bw,13,0.5
53,exp53,15,True,0.8,lm,high_bw,13,0.5
54,exp54,15,True,0.8,nn,high_bw,13,1.0
55,exp55,15,True,0.8,lm,high_bw,13,1.0
56,exp56,15,True,0.8,nn,high_bw,14,0.5
57,exp57,15,True,0.8,lm,high_bw,14,0.5
58,exp58,15,True,0.8,nn,high_bw,14,1.0
59,exp59,15,True,0.8,lm,high_bw,14,1.0
60,exp60,15,True,0.8,nn,medium_bw,0,0.5
61,exp61,15,True,0.8,lm,medium_bw,0,0.5
62,exp62,15,True,0.8,nn,medium_bw,0,1.0
63,exp63,15,True,0.8,lm,medium_bw,0,1.0
64,exp64,15,True,0.8,nn,medium_bw,1,0.5
65,exp65,15,True,0.8,lm,medium_bw,1,0.5
66,exp66,15,True,0.8,nn,medium_bw,1,1.0
67,exp67,15,True,0.8,lm,medium_bw,1,1.0
68,exp68,15,True,0.8,nn,medium_bw,2,0.5
69,exp69,15,True,0.8,lm,medium_bw,2,0.5
70,exp70,15,True,0.8,nn,medium_bw,2,1.0
71,exp71,15,True,0.8,lm,medium_bw,2,1.0
72,exp72,15,True,0.8,nn,medium_bw,3,0.5
73,exp73,15,True,0.8,lm,medium_bw,3,0.5
74,exp74,15,True,0.8,nn,medium_bw,3,1.0
75,exp75,15,True,0.8,lm,medium_bw,3,1.0
76,exp76,15,True,0.8,nn,medium_bw,4,0.5
77,exp77,15,True,0.8,lm,medium_bw,4,0.5
78,exp78,15,True,0.8,nn,medium_bw,4,1.0
79,exp79,15,True,0.8,lm,medium_bw,4,1.0
80,exp80,15,True,0.8,nn,medium_bw,5,0.5
81,exp81,15,True,0.8,lm,medium_bw,5,0.5
82,exp82,15,True,0.8,nn,medium_bw,5,1.0
83,exp83,15,True,0.8,lm,medium_bw,5,1.0
