task,cluster,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9,beta10,beta11,beta12,beta13,beta14,beta15,beta16,beta17,beta18,beta19,beta20,beta21,beta22,beta23,beta24,beta25,beta26,beta27,beta28,beta29,beta30
0.0,3.0,-15.880746639981894,-5.279441645169455,-11.466691988864323,6.88981996256814,20.91674388841348,-1.4993819681072054,10.406502173605775,1.7365312629184129,17.55217203625481,-9.93614009703357,30.830149198524662,3.259100460864203,12.473849941924337,0.9731343199714599,-2.5224811087408106,-17.285210721802294,12.263865188336,9.171478821278082,-17.012333006297478,-10.841514667577815,4.313594128062662,-11.985027122520119,-8.584752980135056,7.220015618685032,12.5486952004964,-9.130305707184474,3.5280929782337607,5.523448458784592,-13.459309363235933,14.04991608684139,-11.672296162458377
1.0,1.0,4.467111255862667,-1.8843811176841119,7.213005726737462,-3.5960761529638785,0.911298758321708,-0.9404487159067869,9.837170613559636,-7.0760606259764,-20.350226778005858,-0.046365597866612956,10.190679293627973,-0.05152296876134964,-0.5892362618893733,3.6725729205431112,-7.636407885896556,-7.913854282884543,2.63154550319231,-8.86088591622823,-5.999998317579892,-6.55086811166495,1.4667480987812636,-4.271553050671836,13.517957057396998,-1.0445126110420744,14.873082888975107,7.154725478030004,-12.623041236112003,-6.893548700801203,-23.41510941690777,-0.3962773859770645,21.481173808258323
2.0,3.0,-15.729285954646652,-5.423019617230122,-11.297210374549751,6.743179088504582,20.654285926954547,-1.4829236020755672,10.583253451557942,1.6015205701116437,18.15542886443447,-9.64858700254066,30.824279191150776,3.2027239235536835,12.83346914027788,0.7269104463392926,-2.6162972161736313,-17.41237885571578,11.927483392552134,9.020015506165903,-17.054567049688426,-10.828678447060009,4.344931171571525,-12.027444148424005,-8.354477510001331,7.264534372994134,12.654838039160467,-9.711433170761946,3.853672896584002,5.58243905793412,-13.427655080588428,13.916122150210327,-11.678834036915877
3.0,0.0,9.306611270996962,3.1842333408853842,-3.355487662993423,7.959076441013921,-7.4699807618585465,10.447829385508221,-28.42963019749853,-9.626814563001659,15.795052756071827,1.1899194384735916,7.452441270832395,1.1118889632692897,-12.875131379842703,0.4131956176025154,-8.782256531001638,-4.065365622808896,5.635814901590593,-10.8674165991848,0.43898271221361596,-10.301519796746042,-12.284179251710675,4.116759377398363,2.375884289255016,11.333253638045587,-4.9587905831271,-1.4991576277895589,-9.620432784721102,-1.1477881649846542,-0.45457687237855215,1.0000053653485907,-1.545600874333719
4.0,0.0,9.448041513049734,3.2162166880793275,-3.301193181294747,7.863000946862751,-7.648438150763154,10.120504685596975,-28.32925232415976,-9.465702083596273,15.596965157891052,1.3914280687695166,7.655326949219169,1.0013159173692467,-12.590053571806754,0.7168162159569629,-8.671579441080485,-4.456554694393164,5.579074401011539,-10.614708968583454,0.24807254358474215,-10.494570551389787,-12.064239852244206,3.873284142806094,2.058045998176716,11.618886592361465,-5.03030821468172,-1.0884335238154472,-9.877218119367406,-1.425103185130739,-0.12118522605441356,0.9324579874628465,-1.5253193695383007
5.0,5.0,-13.3297275770518,-1.2775073699953647,11.694150806259117,6.7565263807338996,-5.5523700748317,1.367404482753149,-11.390010621371816,4.791952693083937,8.098952110937594,-13.540592875330717,14.938256465123768,-2.6881870509086983,-2.231277676232908,-22.015219420818585,-25.12133124152684,-15.300314622391383,2.231291335436442,-4.595653605236323,-3.272385974339181,7.792746111133434,-11.059839214081903,-9.054400391152683,-9.473774742717016,-11.371439973143952,17.03515527678709,8.976286059743344,-11.734005656333846,4.249402679765655,4.8056893061962915,10.981360786129018,12.304475694352746
6.0,2.0,-3.920250179662886,-8.401306265049215,-2.099400967592069,1.7113643454206053,-12.175570371788005,-6.703597758936451,12.202141316812863,-14.191686409772172,-1.410994963221086,1.2804034838104552,7.779741901838461,1.5408425578444176,15.321027777653555,8.522578653823599,-0.4263440103492029,-5.362347484631297,1.5186210569619285,-0.26402908789562696,5.3103166732157305,0.9632096601172329,-13.89236924126201,4.378112905124799,-17.813825386531406,7.958964507080013,18.835894946837453,3.3945414708668444,-10.863137381064204,-10.26577020093156,5.980748922643613,2.018268152981829,0.2973061320662131
7.0,3.0,-15.720733891699167,-5.272120316772098,-11.733108821470715,6.892274355111686,20.250941372165613,-1.7063817610561898,10.299721731884523,1.3959894849017396,17.59515776152323,-9.659189533759111,30.715239295308105,2.9548531343348183,12.753135276007777,0.7400711885590527,-2.387343237039138,-17.60896263478579,12.170648259169445,8.918790454393354,-17.2661154421435,-10.783596155885457,4.647425514690115,-12.154409046060191,-8.509148078414446,7.44395499776025,12.63017260923211,-9.579061909674367,3.588409994462017,5.5009932664569385,-13.637736340858911,13.607384925135035,-11.54024305939386
8.0,0.0,9.483628760087672,3.1654600476105386,-3.3430041079435098,7.89974853612558,-7.975024324221548,9.955679793208088,-28.09062781069263,-9.559931205610166,15.658994096777532,1.0494258745559217,7.401319830189276,1.2679218690793737,-12.472169688272002,0.5116773279346686,-8.68036810704299,-4.107159377053492,5.496843418845052,-11.08566082870983,0.4012833464357571,-10.40514861298287,-12.455165501849764,4.549161216013616,1.9508305601241227,11.635916650085226,-5.385049542653959,-1.3082940717914529,-10.103904352640347,-0.5088342557086012,-0.7151856578046144,1.147579225271476,-1.2846001767764774
9.0,2.0,-4.014167984778346,-8.575320937613727,-1.8873498107756244,1.9520911367368585,-12.27852054179634,-6.652630932627944,11.94034826825659,-13.724275521315777,-2.0131004592831165,1.391481628161111,7.9075582078442235,1.3940632221977853,15.22483858953939,8.527365710377866,-0.4520381161944346,-5.664724277744949,1.3959278031969335,0.03943968452203274,5.448739613164469,1.0833521531372863,-13.810352134844265,4.028644882833505,-17.505937561929027,8.315766889100782,18.649896606522393,3.5163324560118596,-10.4960154554458,-10.15654814265528,6.027067221364004,2.0946453296089036,0.22349684932793853
10.0,0.0,9.405275726224055,3.6984653069971416,-3.497739459810922,8.050325154848894,-7.86346522190496,10.096615061895546,-27.81892816081415,-9.658932367047619,15.394627939505932,1.2375663629918565,7.23673308688484,0.8545860613646474,-12.603941376277682,0.6596900678172261,-8.795123535662265,-4.177382929308925,5.941290591749036,-11.04191712864726,0.14427766130331915,-10.627192570267315,-12.540714646378566,4.170784423787635,1.99589204758269,11.567398469264559,-4.80619706311569,-1.1532014305656542,-9.507916271489822,-1.1087452472635286,-0.7359907039320686,1.671353218095958,-1.6526959783091306
11.0,2.0,-4.151351407925247,-8.058304391096556,-2.0995575313990136,1.9893953282717896,-12.226435042822974,-6.7836847740100685,11.804953291248287,-14.119715932486375,-1.9142138777601163,0.944428078612292,7.690517136744221,1.326112716509703,15.118498619274243,8.54890118235665,-0.13950824822677832,-5.637738745227724,1.4185052293065605,-0.0228111218771683,5.374919365716769,1.2043371327961072,-14.019847755424673,4.175073956613382,-17.29438485680237,8.458284882885165,18.665901649610202,3.3999488838148744,-11.06132639390333,-9.765849299476008,6.3867386462237,1.8939577341861737,0.2436092799343656
12.0,2.0,-3.7886379327308646,-8.408705190648893,-1.9033930894867837,1.8706776002573662,-11.885042557606798,-6.5307652723249,11.868321805096171,-13.734475491950791,-1.780287942486962,1.2744756528811316,8.132886648789063,2.221039619305745,14.888779823984454,7.861308749490546,-0.4743913136879314,-6.114173931229752,1.2799061551482807,-0.12042757794831085,5.275007983730936,1.017472033017627,-13.729910533411497,3.990067173098244,-17.521199327461822,8.182175595886186,18.795620983409624,3.373422119539513,-10.707392452620311,-9.70525874546733,6.319456280311978,1.924067439189665,0.25878657562209995
13.0,2.0,-3.813768388764319,-8.32067978945739,-1.8328136772524874,1.7648245872442403,-11.92547187066612,-6.516878055625198,12.12676236224455,-14.02439485285671,-1.6382860132906496,1.3468512184160315,7.592644108867744,1.4688824830920093,14.808896609174846,8.395250822141126,-0.8736767320108134,-5.815035517184722,1.1872633058040183,0.02898147826718836,5.267829426221979,1.0054453836149573,-13.348649586620953,4.981094817454355,-17.534140356278964,8.495623495185308,18.591821589997313,3.0679077223895055,-11.138424466525555,-10.173661031239106,6.5686549783314305,2.2998283933513957,0.4685199532374922
14.0,2.0,-4.211760159764312,-8.283251655267009,-1.770285662243083,1.817802247341732,-11.807303683818274,-6.602065466591796,12.19726885267275,-13.928852113141769,-1.5780568272861506,1.0313805817436474,7.612005951650744,1.6594451135927406,15.056386159565271,8.33786210188026,-0.4807916211306851,-5.656879149495551,1.4674362358873092,0.33305200648320776,4.9637704033791135,0.7986138010750896,-13.87293871539943,4.241521026864052,-17.45755970863076,8.19471841386515,18.445084976890936,3.4282526835095952,-10.86310811573893,-10.072970937803357,6.347525341208784,1.997512138929208,0.19311513216172618
