task,cluster,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9,beta10,beta11,beta12,beta13,beta14,beta15,beta16,beta17,beta18,beta19,beta20,beta21,beta22,beta23,beta24,beta25,beta26,beta27,beta28,beta29,beta30
0.0,2.0,-0.1832969703532597,0.7656253091599421,-0.332937384566869,0.015209667802394838,-0.3678712047615922,0.22545979257197474,0.3135940492947736,1.5239025259142558,-0.029163482798190227,0.780312961114809,-0.28177094140519543,-0.17348829576305333,-0.48923600751705343,-0.2727147725917285,0.22780808733584895,1.202894339971867,-0.5492311227610451,0.3948161929673196,-0.17243752484249192,0.5555628390514386,0.6196192039895951,0.8388193003722172,0.0834174107660618,-0.37560047617572684,-0.7284947995687268,-0.4173259740540738,0.6350302045824248,-0.9746320359894296,0.08403292838220225,0.14584126407828432,0.6209988154853979
1.0,5.0,-0.8841066228331633,0.19921219502914742,-0.48695540939047466,0.06536306776461703,0.39028345540965725,-0.5919672873555839,-0.47774119209609295,1.205678809925331,0.16761222012262844,-0.2015158421505841,0.011000468705689381,0.11559664206343148,0.4563099459152157,0.5040400347430101,-0.23999077483047604,-0.42566410554802525,-0.3093318967872737,-0.2449945021880014,0.24045880583086868,-0.4006545657012383,0.42419545024984817,0.882111213801229,0.23915529977514915,0.04690891782786039,0.5161434324608163,-0.0967731328081134,-0.14309948132230188,-0.7484655094323069,-0.346579545623926,0.6198123351452468,-0.4850740139090239
2.0,0.0,0.2891680881493532,0.3123218273212224,0.6711367753326154,-0.6724733203850299,0.39549761948307294,0.06992201486899954,-0.29598065243890054,0.09516341654185562,0.13627632248338198,0.24499035463988827,0.8324003560837954,-0.03284989528347526,-0.36342800670136644,0.5840769654747553,0.38694397306927136,0.4442334773393661,-0.1732438255977083,0.654038604887617,1.031267630915515,-0.24808144845108343,-0.21308692175841135,0.24098838014277202,-0.6059238270413514,-0.6171930577313127,0.7667382042088661,1.5421054927795859,1.1944591854785718,0.13681811728850357,-0.10628411228375773,0.1905426386185879,-0.7080938079509148
3.0,0.0,0.031848360370559985,0.15282031697175893,0.6236166277889219,-0.5110938565095297,0.24630977936489265,-0.0948342436346133,-0.2583579424319041,0.16572149369108852,0.034048118526223276,0.3562226474918039,0.6390422696233371,0.39764874025842323,0.09810135906111117,0.6485297081621855,0.36989204306897683,0.04674902078467491,-0.34579227322829376,0.4880026622994549,0.47710843297120054,0.009905693304976926,0.008314942358102737,-0.07722943837088145,-0.6614807309291584,-0.48123373750129533,0.8775186721559401,1.6292429659145764,0.9342520581469688,-0.13710301343447262,-0.5345940561380956,0.3560925911253207,-0.3437924091648344
4.0,5.0,-0.6600007614765021,0.02654818685904957,-0.11175597399957873,-0.4253747276605187,0.5541876009652844,-0.3129392631092893,-0.5691033491503875,0.697451380180206,-0.1288005015880106,0.3027871641150979,-0.09212722724851724,0.5661557760359728,-0.0751081947077078,0.30618883109260475,-0.02837031887489949,-0.4315906542892208,0.13408090435176845,-0.03926135360718808,0.2635166303689448,-0.04634144226484965,0.17012030826127572,0.7703824880175837,0.5500407550715185,0.13970146065837388,0.1647153916151598,0.16541267822323918,-0.36024200181977795,-0.5476897018457666,-0.4361661644261012,0.3238932073201353,-0.2572928796170855
5.0,5.0,-0.7781502801661729,-0.04653435350552628,-0.36525533135816346,-0.1551546682773494,0.20565355460337834,-0.6830554896578962,-0.5046966034273299,0.7111986683997414,0.1344805307476695,-0.2027197160326209,-0.2779412941480732,0.5972639347378959,0.07106237022620139,0.3170239607224711,-0.1600140937733598,-0.9489754723215171,-0.3546557771921506,-0.11794653901838242,0.3770875818442653,-0.17059917600740018,0.38302012951284437,0.7139389873521362,0.35279589431013386,0.041097084167274395,0.2702055681460154,-0.20587390902179947,-0.237187355320344,-0.6590110942547507,-0.8108236995985766,0.6067292581661258,0.01086859192729095
6.0,1.0,0.024984880751141025,-0.11038662824826023,-0.15566878117107802,0.5222647324770984,0.17561066134002848,-1.0579299919832343,0.7860171447110309,-0.23444488356190454,0.25487753284961295,-0.498978738980782,-0.567625375752545,0.7128686463588356,0.5094378606080621,0.25449969838318587,0.04075425924655818,0.4674180591361351,1.0165498479885737,-1.4882585822755063,-0.5652168868790013,0.5135778449825817,-0.35379024228172185,-0.10311451167030901,0.8094696663201968,-0.024234054706755347,0.591609894823051,0.30652229141549336,-0.4618643637362641,-0.8659203169647142,-0.20491852593344764,0.7033985490794032,0.8427234645080169
7.0,0.0,0.20568160243560446,0.4392805713860625,0.5079446088612429,-0.2149086805142157,-0.15871725393891914,0.4403932049428148,-0.1608913845133777,0.2569282229530513,0.2391252344196618,0.25442147464952436,0.4459629842917233,0.6177925824990101,-0.08244097707703262,0.7767404275459262,0.31301482837532724,0.5459159063738201,-0.13720474087163903,0.9582618294887519,0.47712135341180084,-0.14344811970729793,-0.08901529906139433,0.030423176634574445,-0.9602686328740621,-0.5653962528360575,0.749830439098918,1.6566939964960792,0.839939073214752,-0.22573017722970884,-0.2699286858550091,0.4345902383105629,-0.4673094803770548
8.0,5.0,-1.4383303334822135,-0.2998363225359361,-0.17436305315804146,-0.5481412674894974,0.3693162322125958,-0.5535387923363713,-0.20277606345323373,0.8857239382974226,-0.09953312085417755,-0.0008140073206258924,-0.6430198952138967,0.5373958730313715,0.17704983749001613,0.5897338184647661,-0.0829345031106927,-0.5249425347223583,-0.31574860965912893,-0.04408586708798202,-0.03785224491547834,-0.2910608763641883,0.4401523232503397,0.4102861432766451,0.1745880802850549,-0.09785786213905759,0.011575020725566626,-0.1987032957685705,-0.2106586050842438,-0.668010486583763,-0.9235600165235491,0.9556239760971696,-0.8205622521147298
9.0,5.0,-1.0118855298366862,0.23272576140845727,0.11130781750729277,-0.16923196719157002,0.26317495584654027,-0.5543020701849013,-0.5027478641660846,0.7442450761417968,-0.18840198344960363,-0.12064734185843028,-0.1483394886982871,0.6938131462792929,0.3894589058332356,0.6121246610310465,-0.045641356581501036,-0.7874993494181421,-0.05787300419511532,0.21222125837540137,0.17610309806653646,-0.19347395586376992,-0.0037749606698124494,0.4971762240612853,0.47656253915493096,-0.2362408470734205,0.5668054323798623,0.07966805648205183,-0.5440953931370376,-0.5248139409423074,-0.5434800609545749,0.8217929068221523,-0.8014520342685828
