task,x,f,y
0,0.5104338946514194,-1.5430767396239768,-1.480449712480727
0,0.8635004565807379,-1.9118200046675025,-2.006990187546716
0,0.036066563146188946,-1.1661679164136878,-1.182941562226492
0,0.39935048442096943,-1.5392733360512454,-1.539658387330387
0,0.28062718539887865,-1.452139414577079,-1.401917503920029
0,0.822946069642047,-1.8937594803454365,-1.9272739923749171
0,0.4062497053747396,-1.5415279288381603,-1.6000637213150402
0,0.08526289424466138,-1.1789348905580188,-1.1355048581993958
0,0.7972509062485941,-1.8779182925013236,-1.9890919470668895
0,0.6291877864201483,-1.6029348473465679,-1.5085598504185747
0,0.6512063943135886,-1.6195830719277091,-1.5735531020429327
0,0.9825390095380057,-1.8717235426860754,-1.8698916079342303
0,0.9498622483840818,-1.8913735282906725,-1.8962609282139855
0,0.8180169111701636,-1.8909982242189083,-2.109674435983361
0,0.26786714630497366,-1.4390564418920702,-1.5911744028862098
0,0.0982212671556798,-1.1835473796796045,-1.3032402023427878
0,0.6225098944216847,-1.5975220788724012,-1.7901163465103185
0,0.8594381656094587,-1.910367889520465,-1.9773636063103823
0,0.12568823972242693,-1.21127340075994,-1.1843723303369618
0,0.809451834382983,-1.8858907029369327,-1.8045064519434073
0,0.2609512197137299,-1.4321260658862631,-1.6126168792923068
0,0.7072188785094146,-1.722867994008054,-1.8290259955316763
0,0.16031165290185811,-1.2703695516082807,-1.3511580047003018
0,0.8201630078578661,-1.8922162537705927,-1.9646536745783918
0,0.9345329438638469,-1.8995568481002993,-1.9335343971861851
0,0.16644582397465157,-1.2816354789171303,-1.1291412454502041
0,0.5203653598857891,-1.5412064688463503,-1.5051650623989201
0,0.7629822535539647,-1.8358728291321234,-1.9105426561783287
0,0.08493856886002937,-1.1788260169936082,-1.032405384066819
0,0.05435180241402415,-1.170022630775625,-1.2976417852038085
0,0.12976745922699795,-1.2178435459923325,-1.1503622570476628
0,0.38346791609905684,-1.5335354733977302,-1.5824806522111075
0,0.6573456576448241,-1.6239055052605473,-1.6293486545623987
0,0.8999202438940356,-1.9151784266239462,-1.9354844384976893
0,0.45573657587628913,-1.5505023799131767,-1.3822157376733026
0,0.27924640095617426,-1.4507050842645117,-1.29211877988871
0,0.7133881618306501,-1.7361450439868837,-1.645851634696679
0,0.8800789813282903,-1.916977304712392,-1.787567704424439
0,0.03409861149286708,-1.1658169611254834,-1.2323565399747871
0,0.5863193509220005,-1.565100625169819,-1.6524842932879527
0,0.8601437458413922,-1.9106255626961965,-1.9270951483656216
0,0.9601128194334435,-1.8855151814134758,-1.729886283311628
0,0.1046614268686592,-1.1860288872790312,-1.1990682764953988
0,0.9058855761432227,-1.9127908177556272,-1.9398481886125611
0,0.7473283307725491,-1.8056719075695495,-1.8219804516603797
0,0.942101581458902,-1.8956061129155883,-1.8835583408933936
0,0.4552441553880252,-1.550547822692692,-1.464234474196307
0,0.6574353876330715,-1.6239676705099604,-1.6791673857401632
