,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1,1,1,1,2,1
3,1,1,1,1,1,1,1,1,1,1,1,1,2,1
4,1,1,1,1,1,1,2,1,1,1,1,1,2,1
5,1,1,1,1,1,1,2,1,1,1,1,1,2,1
6,1,1,1,1,1,1,2,1,1,1,1,1,2,1
7,1,1,2,1,1,1,2,1,1,1,1,1,2,1
8,1,1,2,1,1,1,2,1,1,1,1,1,2,1
9,1,1,2,1,1,1,2,1,1,1,1,1,2,1
10,1,1,2,1,1,1,2,1,1,1,2,1,2,1
11,1,1,2,1,1,1,2,1,1,1,2,1,2,1
12,1,1,2,1,1,1,3,1,1,1,2,1,2,1
13,1,1,2,1,1,1,4,1,1,1,2,1,2,1
14,1,1,2,1,1,1,4,1,1,1,1,1,2,1
15,1,1,2,1,1,1,5,1,1,1,1,1,2,1
16,1,1,2,1,1,2,5,1,1,1,1,1,2,1
17,1,1,2,1,1,2,5,1,1,1,1,1,2,1
18,1,1,2,1,1,3,5,1,1,1,1,1,2,1
19,1,1,2,1,1,4,5,1,1,1,1,1,2,1
20,1,1,2,1,1,4,5,1,1,1,1,1,2,1
21,1,1,2,1,1,5,5,1,1,1,1,1,2,1
22,1,1,2,1,1,5,5,1,1,1,1,1,2,1
23,1,1,2,1,1,6,5,1,1,1,1,1,2,1
24,1,1,2,1,1,6,6,1,1,1,1,1,2,1
25,1,1,2,1,1,6,6,1,1,1,1,1,2,1
26,1,1,2,1,1,6,6,1,1,1,1,1,2,1
27,1,2,2,1,1,6,6,1,1,1,1,1,2,1
28,1,3,2,1,1,6,6,1,1,1,1,1,2,1
29,1,3,2,1,1,6,6,1,1,1,1,1,2,2
30,1,3,2,1,1,6,6,1,1,1,1,1,2,2
31,1,4,2,1,1,6,6,1,1,1,1,1,2,2
32,1,4,2,1,1,6,7,1,1,1,1,1,2,2
33,1,4,2,1,1,6,7,1,1,1,1,1,2,2
34,1,4,2,1,1,6,8,1,1,1,1,1,2,2
35,1,4,2,1,1,6,8,1,1,1,1,1,3,2
36,1,4,2,1,1,6,8,1,1,1,1,1,3,2
37,1,4,2,1,1,6,8,1,1,1,1,1,3,2
38,1,5,2,1,1,6,8,1,1,1,1,1,3,2
39,1,5,2,1,1,6,9,1,1,1,1,1,3,2
40,1,5,2,1,1,6,9,1,1,1,1,1,3,2
41,1,5,2,1,1,6,10,1,1,1,1,1,3,2
42,1,5,2,1,1,6,10,1,1,1,1,1,3,2
43,1,6,2,1,1,6,10,1,1,1,1,1,3,2
44,1,6,2,1,1,6,10,1,1,1,1,1,3,2
45,1,6,2,1,1,6,10,1,1,1,1,1,4,2
46,1,6,3,1,1,6,10,1,1,1,1,1,4,2
47,1,6,3,1,1,6,10,1,1,1,1,1,4,2
48,1,6,3,1,1,6,10,1,1,1,1,1,4,2
49,1,6,3,1,1,6,10,1,1,1,1,1,4,3
50,1,6,3,1,1,6,10,1,1,1,1,1,4,3
51,1,6,3,1,1,6,10,1,1,1,1,1,4,3
52,1,6,3,1,1,6,10,1,1,1,1,1,4,4
53,1,6,3,1,1,6,10,1,1,1,1,1,4,4
54,1,6,3,1,1,7,10,1,1,1,1,1,4,4
55,1,6,3,1,1,7,10,1,1,1,1,1,4,4
56,1,6,3,1,1,7,10,1,1,1,1,1,4,4
57,1,6,3,1,1,7,10,1,1,1,1,1,4,4
58,1,6,3,1,1,7,10,1,1,1,1,1,4,4
59,1,6,3,1,1,7,11,1,1,1,1,1,4,4
60,1,6,3,1,1,7,12,1,1,1,1,1,4,4
61,1,6,3,1,1,7,1,1,1,1,1,1,4,4
62,1,6,3,1,1,8,1,1,1,1,1,1,4,4
63,1,6,3,1,1,9,1,1,1,1,1,1,4,4
64,1,6,3,1,1,10,1,1,1,1,1,1,4,4
65,1,6,3,1,1,11,1,1,1,1,1,1,4,4
66,1,6,3,1,1,11,1,1,1,1,1,1,4,4
67,1,6,3,1,1,12,1,1,1,1,1,1,4,4
68,1,6,3,1,1,12,1,1,1,1,1,1,5,4
69,1,6,3,1,1,12,1,1,1,1,1,1,5,4
70,1,6,3,1,1,13,1,1,1,1,1,1,5,4
71,1,6,3,1,1,13,1,1,1,1,1,1,5,5
72,1,6,3,1,1,13,1,1,1,1,1,1,5,5
73,1,6,3,1,1,13,1,1,1,1,1,1,5,5
74,1,6,3,1,1,13,1,1,1,2,1,1,5,5
75,1,6,3,1,1,13,1,1,1,2,1,1,5,5
76,1,6,3,1,1,13,1,1,1,2,1,1,5,5
77,1,6,3,1,1,13,1,1,1,2,1,1,5,6
78,1,6,3,1,1,13,1,1,1,2,1,1,5,6
79,1,6,3,1,1,13,1,1,1,2,1,1,5,7
80,1,6,3,1,1,13,1,1,1,2,1,1,5,7
81,1,6,4,1,1,13,1,1,1,2,1,1,5,7
82,1,6,4,1,1,13,1,1,1,2,1,1,5,7
83,1,6,4,1,1,13,1,1,1,2,1,1,5,8
84,1,6,4,1,1,13,1,1,1,2,1,1,5,8
85,1,6,4,1,1,14,1,1,1,2,1,1,5,8
86,1,6,4,1,1,14,1,1,1,2,1,1,5,8
87,1,6,4,1,1,15,1,1,1,2,1,1,5,8
88,1,6,4,1,1,15,1,1,1,2,1,1,6,8
89,1,6,4,1,1,15,1,1,1,2,1,1,6,8
90,1,6,4,1,1,15,1,1,1,3,1,1,6,8
91,1,6,4,1,1,15,1,1,1,3,1,1,7,8
92,1,6,4,1,1,15,1,1,1,1,1,1,7,8
93,1,6,4,1,1,15,1,1,1,1,1,1,7,9
94,1,6,5,1,1,15,1,1,1,1,1,1,7,9
95,1,6,6,1,1,15,1,1,1,1,1,1,7,9
96,1,6,6,1,1,15,1,1,1,1,1,1,7,9
97,1,6,6,1,1,15,1,1,1,1,1,1,8,9
98,1,6,6,1,1,15,1,1,1,1,1,1,8,9
99,1,6,6,1,1,15,1,1,1,1,1,1,8,9
100,1,6,6,1,1,15,1,1,1,1,1,1,8,10
