,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
2,1,1,1,1,1,1,2,1,1,1,1,1,1,1
3,1,1,1,1,1,1,2,1,1,1,1,2,1,1
4,1,1,1,1,1,1,2,1,1,1,1,2,1,2
5,1,1,1,1,1,1,2,1,1,1,1,2,1,2
6,1,1,1,1,1,1,2,1,1,1,1,2,2,2
7,1,1,1,1,1,1,2,1,1,1,1,2,2,2
8,1,1,1,1,1,1,2,1,1,1,1,2,2,2
9,1,1,1,1,1,1,2,1,1,1,1,2,3,2
10,1,1,1,1,1,1,2,1,1,1,1,2,3,2
11,1,1,1,1,1,1,2,1,1,1,1,2,4,2
12,1,1,1,1,1,1,2,1,1,1,1,2,4,2
13,1,1,1,1,1,1,2,1,1,1,1,1,4,2
14,1,1,1,1,1,1,3,1,1,1,1,1,4,2
15,1,1,1,1,1,1,4,1,1,1,1,1,4,2
16,1,1,1,1,1,1,4,1,1,1,1,1,4,2
17,1,1,1,1,1,1,5,1,1,1,1,1,4,2
18,1,1,2,1,1,1,5,1,1,1,1,1,4,2
19,1,1,2,1,1,1,5,1,1,1,1,1,4,2
20,1,1,2,1,2,1,5,1,1,1,1,1,4,2
21,1,1,2,1,2,1,5,1,1,1,1,1,4,2
22,1,1,2,1,2,1,5,1,1,1,1,1,4,2
23,1,1,2,2,2,1,5,1,1,1,1,1,4,2
24,1,1,2,2,2,1,5,1,1,1,1,1,4,2
25,1,1,2,2,3,1,5,1,1,1,1,1,4,2
26,1,1,2,2,3,1,5,1,1,1,1,1,4,2
27,1,1,2,2,3,1,6,1,1,1,1,1,4,2
28,1,1,2,3,3,1,6,1,1,1,1,1,4,2
29,1,1,2,3,3,1,6,1,1,1,1,1,4,2
30,1,1,2,3,3,1,6,1,1,1,1,1,4,2
31,1,1,2,3,3,1,6,1,1,1,1,1,5,2
32,1,1,2,3,3,1,6,1,1,1,1,1,5,1
33,1,1,2,3,3,1,7,1,1,1,1,1,5,1
34,1,1,2,3,3,1,7,1,1,1,1,1,5,1
35,1,1,2,3,3,1,7,1,1,1,1,1,6,1
36,1,1,2,4,3,1,7,1,1,1,1,1,6,1
37,1,1,2,4,3,1,7,1,1,1,1,1,6,1
38,1,1,2,1,3,1,7,1,1,1,1,1,6,1
39,1,1,2,1,3,1,8,1,1,1,1,1,6,1
40,1,1,2,1,3,1,8,1,1,1,1,1,6,1
41,1,1,2,1,3,1,9,1,1,1,1,1,6,1
42,1,1,2,1,3,1,9,1,1,1,1,1,6,1
43,1,1,2,1,3,1,10,1,1,1,1,1,6,1
44,1,1,2,1,3,1,10,1,1,1,1,1,6,1
45,1,1,2,1,3,1,10,1,1,1,1,1,6,1
46,1,1,2,1,4,1,10,1,1,1,1,1,6,1
47,1,1,2,1,4,1,10,1,1,1,1,1,6,1
48,1,1,2,1,4,1,10,1,1,1,1,1,6,1
49,1,1,2,1,4,1,1,1,1,1,1,1,6,1
50,1,1,2,1,4,1,1,1,1,1,1,1,7,1
51,1,1,2,1,4,1,1,1,1,1,1,1,1,1
52,1,1,2,1,1,1,1,1,1,1,1,1,1,1
53,1,1,2,1,1,1,1,1,1,1,1,1,1,1
54,1,1,3,1,1,1,1,1,1,1,1,1,1,1
55,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,1,1,1,1,1,1,1,1,1,2,1,1,1,1
58,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,1,1,2,1,1,1,1,1,1,1,1,1,1,1
60,1,1,3,1,1,1,1,1,1,1,1,1,1,1
61,1,1,3,1,1,1,1,1,1,1,1,1,1,1
62,1,1,4,1,1,1,1,1,1,1,1,1,1,1
63,1,1,5,1,1,1,1,1,1,1,1,1,1,1
64,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65,1,1,1,1,1,1,1,1,1,1,1,1,1,2
66,1,1,1,1,1,1,1,1,1,1,1,1,1,2
67,1,1,1,1,1,1,1,1,1,1,1,1,1,2
68,1,1,1,1,1,1,1,1,1,1,1,1,1,3
69,1,1,1,1,1,1,1,1,1,1,1,1,1,4
70,1,1,1,1,1,1,1,1,1,1,1,1,1,4
71,1,1,1,1,2,1,1,1,1,1,1,1,1,4
72,1,1,1,1,2,1,1,1,1,1,1,1,1,4
73,1,1,1,1,2,1,1,1,1,1,1,1,1,5
74,1,1,1,1,2,1,1,1,1,1,1,1,1,6
75,1,1,1,1,2,1,1,1,1,1,1,1,1,6
76,1,1,1,1,2,1,1,1,1,1,1,1,1,7
77,1,1,1,1,2,1,1,1,1,1,1,1,1,8
78,1,1,1,1,2,1,1,1,1,1,1,1,1,8
79,1,1,1,1,2,1,1,1,1,1,1,1,1,8
80,1,1,1,1,2,1,1,1,1,1,1,1,1,9
81,1,1,1,1,2,1,1,1,1,1,1,1,1,9
82,1,1,1,1,2,1,1,1,1,1,1,1,1,10
83,1,1,1,1,2,1,1,1,1,1,1,1,1,10
84,1,1,1,1,2,1,1,1,1,1,1,1,1,1
85,1,1,1,1,2,1,1,2,1,1,1,1,1,1
86,1,1,1,1,2,1,1,2,1,1,1,1,2,1
87,1,1,1,1,2,1,1,2,1,1,1,1,1,1
88,1,1,1,1,2,1,1,2,1,1,1,1,1,1
89,1,1,1,1,3,1,1,2,1,1,1,1,1,1
90,1,1,1,1,3,1,1,2,1,1,1,1,1,1
91,1,1,1,1,4,1,1,2,1,1,1,1,1,1
92,1,1,1,1,4,1,1,2,1,1,1,1,1,1
93,1,1,1,1,4,1,1,3,1,1,1,1,1,1
94,1,1,1,1,4,1,1,3,1,1,1,1,1,1
95,1,1,1,1,4,1,1,3,1,1,1,1,1,1
96,1,1,1,1,5,1,1,3,1,1,1,1,1,1
97,1,1,1,1,5,1,1,3,1,1,1,1,1,1
98,1,1,1,1,5,1,1,3,1,1,1,1,1,1
99,1,1,1,1,5,1,1,4,1,1,1,1,1,1
100,1,1,1,1,5,1,1,4,1,1,1,1,1,1
