,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
2,1,1,1,1,1,1,1,1,1,2,1,1,1,1
3,1,2,1,1,1,1,1,1,1,2,1,1,1,1
4,1,2,1,1,2,1,1,1,1,2,1,1,1,1
5,1,2,1,1,2,1,1,1,1,2,1,1,1,1
6,1,2,2,1,2,1,1,1,1,2,1,1,1,1
7,1,2,2,1,2,1,1,1,1,2,2,1,1,1
8,1,2,2,1,2,1,1,1,1,2,2,1,1,1
9,1,2,2,1,2,1,1,1,1,2,2,1,1,1
10,1,2,2,1,2,1,1,1,1,2,2,1,2,1
11,2,2,2,1,2,1,1,1,1,2,2,1,2,1
12,2,2,2,1,2,1,1,1,1,2,2,1,3,1
13,2,2,2,1,2,1,1,1,1,2,2,1,3,1
14,2,2,2,1,2,1,1,1,1,2,2,1,3,1
15,2,2,2,1,2,1,1,1,1,2,2,1,3,1
16,3,2,2,1,2,1,1,1,1,2,2,1,3,1
17,3,2,2,1,2,1,1,1,1,2,2,1,3,1
18,3,2,2,1,2,1,1,1,1,2,2,2,3,1
19,3,2,2,1,2,1,1,1,1,2,2,2,3,1
20,3,2,2,1,3,1,1,1,1,2,2,2,3,1
21,3,2,2,1,4,1,1,1,1,2,2,2,3,1
22,3,2,2,1,4,1,1,1,1,2,2,2,3,1
23,3,3,2,1,4,1,1,1,1,2,2,2,3,1
24,3,3,2,1,4,1,1,1,1,2,2,2,3,1
25,3,4,2,1,4,1,1,1,1,2,2,2,3,1
26,3,4,2,1,4,1,1,1,1,2,2,2,3,1
27,3,5,2,1,4,1,1,1,1,2,2,2,3,1
28,3,5,2,1,4,1,1,1,1,2,2,2,3,1
29,3,6,2,1,4,1,1,1,1,2,2,2,3,1
30,3,6,2,1,4,1,1,1,1,2,2,2,3,1
31,3,7,2,1,4,1,1,1,1,2,2,2,3,1
32,3,7,2,1,4,1,1,1,1,2,2,2,3,1
33,3,8,2,1,4,1,1,1,1,2,2,2,3,1
34,3,8,2,1,4,1,1,1,1,2,2,2,3,1
35,3,9,2,1,4,1,1,1,1,2,2,2,3,1
36,3,9,2,1,4,1,1,1,1,2,2,2,3,1
37,3,9,2,1,4,2,1,1,1,2,2,2,3,1
38,3,9,2,1,4,2,1,1,1,2,2,2,3,1
39,3,9,2,1,4,2,1,2,1,2,2,2,3,1
40,3,9,2,1,4,2,1,3,1,2,2,2,3,1
41,3,9,2,1,4,2,1,3,1,2,2,2,3,1
42,3,9,2,1,4,2,1,3,1,2,2,2,3,1
43,3,9,2,1,4,2,1,3,1,2,2,2,3,1
44,3,9,2,1,4,2,1,3,1,2,2,2,3,1
45,3,10,2,1,4,2,1,3,1,2,2,2,3,1
46,3,11,2,1,4,2,1,3,1,2,2,2,3,1
47,3,11,2,1,4,2,1,3,1,2,2,2,3,1
48,3,11,2,1,4,2,1,3,1,2,2,2,3,2
49,3,11,2,1,4,2,1,3,1,2,2,2,3,2
50,3,11,2,1,5,2,1,3,1,2,2,2,3,2
51,3,11,2,1,5,2,1,3,1,2,2,2,3,2
52,3,11,2,1,5,2,1,4,1,2,2,2,3,2
53,3,11,2,1,5,2,1,4,1,2,2,2,3,2
54,3,11,2,1,5,2,1,5,1,2,2,2,3,2
55,3,12,2,1,5,2,1,5,1,2,2,2,3,2
56,3,12,2,1,5,2,1,5,1,2,2,2,3,2
57,3,12,2,1,5,2,1,6,1,2,2,2,3,2
58,3,12,2,1,5,2,1,6,1,2,2,2,3,2
59,3,12,2,1,5,2,1,7,1,2,2,2,3,2
60,3,12,2,1,5,2,1,7,1,2,2,2,3,2
61,3,12,2,1,5,2,1,7,1,2,2,2,4,2
62,3,12,2,1,5,2,1,7,1,2,2,2,4,2
63,3,12,2,1,5,2,1,7,1,2,2,2,4,3
64,3,12,2,1,5,2,1,7,1,2,2,2,4,3
65,3,12,2,1,5,2,1,7,1,2,2,2,4,3
66,3,12,2,1,6,2,1,7,1,2,2,2,4,3
67,3,12,2,1,7,2,1,7,1,2,2,2,4,3
68,3,12,2,1,7,2,1,8,1,2,2,2,4,3
69,3,12,2,1,7,2,1,8,1,2,2,2,4,3
70,3,13,2,1,7,2,1,8,1,2,2,2,4,3
71,3,13,2,1,7,2,1,8,1,2,2,2,4,3
