,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
2,1,2,2,1,1,1,1,1,1,1,1,1,1,1
3,1,2,3,1,1,1,1,1,1,1,1,1,1,1
4,1,2,4,1,1,1,1,1,1,1,1,1,1,1
5,1,2,4,1,1,1,1,1,1,1,2,1,1,1
6,1,2,5,1,1,1,1,1,1,1,2,1,1,1
7,2,2,5,1,1,1,1,1,1,1,2,1,1,1
8,2,2,5,1,1,1,1,1,1,1,2,2,1,1
9,2,2,5,1,1,1,1,1,1,1,3,2,1,1
10,2,2,5,1,1,1,2,1,1,1,3,2,1,1
11,2,3,5,1,1,1,2,1,1,1,3,2,1,1
12,2,3,5,1,1,1,2,1,1,1,3,2,1,1
13,2,4,5,1,1,1,2,1,1,1,3,2,1,1
14,2,4,5,1,1,1,2,1,1,1,3,2,1,1
15,2,4,5,2,1,1,2,1,1,1,3,2,1,1
16,2,4,5,2,1,1,2,1,1,1,4,2,1,1
17,2,4,5,2,1,1,2,1,1,1,4,2,1,1
18,2,4,5,2,1,1,2,1,1,1,4,2,1,1
19,3,4,5,2,1,1,2,1,1,1,4,2,1,1
20,3,4,5,2,1,1,2,1,1,1,4,2,1,1
21,3,4,5,2,1,2,2,1,1,1,4,2,1,1
22,3,4,5,2,1,2,2,1,1,1,4,2,1,1
23,3,4,5,2,1,2,2,1,1,1,4,3,1,1
24,3,4,5,2,1,2,2,1,1,1,4,3,1,1
25,3,4,5,2,1,2,2,1,1,1,5,3,1,1
26,3,4,5,2,1,2,2,1,1,1,5,3,1,1
27,4,4,5,2,1,2,2,1,1,1,5,3,1,1
28,4,5,5,2,1,2,2,1,1,1,5,3,1,1
29,4,5,5,2,1,2,2,1,1,1,5,4,1,1
30,4,5,5,2,1,2,2,1,1,1,5,4,2,1
31,4,5,5,2,1,2,2,1,1,1,5,4,2,1
32,4,5,5,2,1,2,2,1,1,1,5,4,2,1
33,4,6,5,2,1,2,2,1,1,1,5,4,2,1
34,4,6,5,2,1,2,2,1,1,1,5,4,2,1
35,4,6,5,2,1,3,2,1,1,1,5,4,2,1
36,4,6,5,3,1,3,2,1,1,1,5,4,2,1
37,4,6,5,3,1,3,2,1,1,1,5,4,2,1
38,4,6,5,3,1,3,2,1,1,1,5,4,2,1
39,4,6,5,4,1,3,2,1,1,1,5,4,2,1
40,4,6,5,4,1,3,2,1,1,1,5,4,2,1
41,4,6,5,5,1,3,2,1,1,1,5,4,2,1
42,4,6,5,5,1,3,2,1,1,1,5,4,2,1
43,4,6,5,6,1,3,2,1,1,1,5,4,2,1
44,4,6,5,6,1,3,2,1,1,1,5,4,2,1
45,4,6,5,6,1,3,2,2,1,1,5,4,2,1
46,4,6,5,6,1,3,2,3,1,1,5,4,2,1
47,4,6,5,6,1,3,2,3,1,1,5,4,2,1
48,4,7,5,6,1,3,2,3,1,1,5,4,2,1
49,4,8,5,6,1,3,2,3,1,1,5,4,2,1
50,4,8,5,6,1,3,2,3,1,1,5,4,2,1
51,4,8,5,6,1,3,2,3,1,1,5,4,2,1
52,4,8,5,6,1,3,2,4,1,1,5,4,2,1
53,4,8,5,6,1,3,2,4,1,1,5,4,2,1
54,4,8,5,6,1,3,2,4,1,1,5,4,3,1
55,4,8,5,6,1,4,2,4,1,1,5,4,3,1
56,4,8,5,6,1,4,2,4,1,1,5,4,3,1
57,4,8,5,6,1,4,2,4,2,1,5,4,3,1
58,4,8,5,6,1,4,2,4,2,1,5,4,3,1
59,4,9,5,6,1,4,2,4,2,1,5,4,3,1
60,4,10,5,6,1,4,2,4,2,1,5,4,3,1
61,4,10,5,6,1,4,2,4,2,1,5,4,3,1
62,4,10,5,6,2,4,2,4,2,1,5,4,3,1
63,4,10,5,6,2,4,2,4,2,1,5,4,3,1
64,4,10,5,6,2,4,2,5,2,1,5,4,3,1
65,4,10,5,6,2,4,2,5,2,1,5,4,3,1
66,4,10,5,6,2,4,2,5,2,1,5,4,3,1
67,4,10,5,7,2,4,2,5,2,1,5,4,3,1
68,4,10,5,7,2,4,2,5,2,1,5,4,3,1
69,4,10,5,7,2,4,2,5,2,1,5,4,3,1
70,4,10,5,7,2,4,2,5,2,1,5,4,3,1
71,4,10,5,7,2,4,2,6,2,1,5,4,3,1
72,4,10,5,7,2,4,2,6,2,1,5,4,3,1
73,4,10,5,7,2,4,2,6,2,1,5,4,3,1
74,4,10,5,7,2,4,2,6,2,1,5,4,3,1
75,4,10,5,7,2,5,2,6,2,1,5,4,3,1
76,4,10,5,7,2,6,2,6,2,1,5,4,3,1
77,4,10,5,7,2,6,2,6,2,1,5,4,3,1
78,4,10,5,7,2,6,2,6,2,1,5,4,3,1
79,4,10,5,7,2,6,2,7,2,1,5,4,3,1
80,4,10,5,7,2,6,2,7,2,1,5,4,3,1
81,4,10,5,7,2,6,2,8,2,1,5,4,3,1
82,4,10,5,7,2,6,2,9,2,1,5,4,3,1
83,4,10,5,7,2,6,2,9,2,1,5,4,3,1
84,4,10,5,7,2,6,2,9,2,1,5,5,3,1
85,4,10,5,7,2,6,3,9,2,1,5,5,3,1
86,4,10,5,7,2,6,3,9,2,1,5,5,3,1
87,4,11,5,7,2,6,3,9,2,1,5,5,3,1
88,4,11,5,8,2,6,3,9,2,1,5,5,3,1
89,4,11,5,8,2,6,3,9,2,1,5,5,3,1
90,4,11,5,8,2,6,3,9,2,1,5,6,3,1
91,4,11,5,8,2,6,3,9,2,1,5,6,3,1
92,4,11,5,8,2,6,3,9,2,1,5,7,3,1
93,4,11,5,8,2,6,3,9,2,1,5,7,3,1
94,4,11,5,8,2,6,3,10,2,1,5,7,3,1
95,4,11,5,8,2,6,3,10,2,1,5,7,3,1
96,4,11,5,9,2,6,3,10,2,1,5,7,3,1
97,4,11,5,9,2,6,3,10,2,1,5,7,3,1
98,4,11,5,9,2,6,3,10,2,1,5,8,3,1
99,4,11,5,9,2,7,3,10,2,1,5,8,3,1
100,4,11,5,9,2,7,3,10,2,1,5,8,3,1
